clave,espanol,nah,myn,tze
"cancel","Cancelar","Xicahcahua","",""
"error","Error","","",""
"edit","Editar","","",""
"delete","Eliminar","","",""
"add","Agregar","","",""
"confirm","Confirmar","","",""
"optional","Opcional","","",""
"sending","Enviando...","","",""
"saving","Guardando...","","",""
"cancelling","Cancelando...","","",""
"minutes_short","min","","",""
"seconds_short","s","","",""
"premium","Plan Premium","","",""
"free_plan","Plan gratuito","","",""
"update_plan","Actualizar plan","","",""
"plan_premiumBtn","Plan Premium — $59/mes","","",""
"plan_familiarBtn","Plan Familiar — $499/año","","",""
"plan_premiumBtnShort","Premium — $59/mes","","",""
"plan_familiarBtnShort","Familiar — $499/año","","",""
"header_sync","{n} sync","","",""
"settings_pinDialogTitle","Configurar PIN","","",""
"settings_pinLockSwitch","Bloqueo por PIN","","",""
"settings_activate","Activar","","",""
"settings_cancelError","No se pudo cancelar: ","","",""
"settings_deleteAccountError","No se pudo eliminar la cuenta: ","","",""
"settings_saveError","No se pudo guardar: ","","",""
"settings_savePinError","No se pudo guardar el PIN: ","","",""
"settings_security","Seguridad","","",""
"settings_pinProtects","Protege contactos, ubicación e historial","","",""
"settings_pinSetupHint","Configura un PIN para activarlo","","",""
"settings_volumeSos","Botón de volumen (SOS)","","",""
"settings_checkEmail","Revisa tu correo","","",""
"settings_resetPinSent","Enviamos un enlace a {email} para restablecer tu PIN. Al ingresar, podrás configurar uno nuevo.","","",""
"sos_saving","Guardando...","","",""
"sos_stopRec","Detener grabación","","",""
"sos_resumeRec","Reanudar grabación","","",""
"sos_holdingLabel","Manteniendo...","","",""
"sos_holdToActivateShort","Mantén presionado para SOS","","",""
"sos_liveBroadcasting","Transmitiendo en vivo ({n} clips) — detener","","",""
"sos_liveBroadcastStart","Transmitir en vivo a contactos","","",""
"sos_locationLabel","Ubicación","","",""
"sos_stopRecordingDesc","Se detendrá la grabación y se eliminará la alerta.","","",""
"sos_recordingUnavailable","Grabación no disponible","","",""
"voice_errorUnavailable","Reconocimiento de voz no disponible en este dispositivo.","","",""
